受体	Nature Plants | 李磊团队/田志喜团队合作鉴定到一个免疫激发子—<em>受体</em>模块，可赋予作物广谱抗性	2025-08-19	Large-scale pairing identifies a soybean phytocytokine - receptor module conferring disease resistance	https://www.nature.com/articles/s41477-025-02086-7
受体	Cell | 华南农业大学储成才/胡斌团队发现ABA全新细胞膜<em>受体</em>，并解析其完整信号通路	2025-08-11	NRT1.1B acts as an abscisic acid receptor in integrating compound environmental cues for plants 	 https://doi.org/10.1016/j.cell.2025.07.027
受体	Nature Plants背靠背 | 改造植物免疫<em>受体</em>FLS2，精准识别逃逸病原菌	2025-08-05	Reverse engineering of the pattern recognition receptor FLS2 reveals key design principles of broader recognition spectra against evading flg22 epitopes 	 https://www.nature.com/articles/s41477-025-02050-5  
Unlocking expanded flagellin perception through rational receptor engineering 	 https://www.nature.com/articles/s41477-025-02049-y  
Expanding flg22 recognition in plants 	 https://www.nature.com/articles/s41477-025-02032-7
受体	Nature Commun | 中国农业大学高俊平团队揭示乙烯<em>受体</em>泛素化降解介导月季花朵衰老的分子机制	2025-07-03	ER-related E2-E3 ubiquitin enzyme pair regulates ethylene response by modulating the turnover of ethylene receptors 	 https://www.nature.com/articles/s41467-025-61066-9
受体	Nature Plants | 中国农大杨淑华团队揭示类<em>受体</em>激酶级联调控植物根系冷胁迫响应的新机制	2025-06-27	A receptor–kinase cascade confers cold-induced root growth inhibition in Arabidopsis 	 https://www.nature.com/articles/s41477-025-02034-5
受体	专家点评Cell | 打破物种壁垒！中国农大郭海龙团队与合作者通过共转移免疫<em>受体</em>实现跨物种抗病	2025-06-17	Interfamily co-transfer of sensor and helper NLRs extends immune receptor functionality between angiosperms 	 https://www.cell.com/cell/fulltext/S0092-8674(24)00598-5
受体	Science Advances | 华中农大李博课题组揭示番茄免疫<em>受体</em>激活新机制	2025-06-02	Differential Phosphorylation of Receptor Kinase SlLYK4 mediates Immune Responses to Bacterial and Fungal Pathogens in Tomato 	 https://www.science.org/doi/10.1126/sciadv.adu2840
受体	Plant Cell | 厦门大学黄烯/刘亮合作揭示UV-B光<em>受体</em>调节脂肪酸代谢控制气孔闭合的新机制	2025-03-25	The UV-B photoreceptor UVR8 interacts with LOX1 enzyme to promote stomatal closure through the LOX-derived oxylipin pathway 	 https://doi.org/10.1093/plcell/koaf060
受体	Nature Commun | 福建农林大学揭示抗真菌蛋白特异<em>受体</em>Ntp1的作用机制，为植物病原真菌防治提供新靶标	2025-03-24	The role of Npt1 in regulating antifungal protein activity in filamentous fungi 	 https://www.nature.com/articles/s41467-025-58230-6
受体	Current Biology | 中山大学孙宇飞课题组揭示陆地植物ABA<em>受体</em>趋同演化机制	2025-02-03	Abscisic acid receptors functionally converge across 500 million years of land plant evolution 	 https://doi.org/10.1016/j.cub.2024.12.043
受体	Cell Host Microbe | 深圳大学刘宏涛团队发现蓝光<em>受体</em>CRY1平衡植物光合和免疫	2024-12-28	The blue-light receptor CRY1 serves as a switch to balance photosynthesis and plant defense 	 https://doi.org/10.1016/j.chom.2024.12.003
受体	西北农林科技大学郭韬课题组与林鸿宣院士合作揭示拮抗性小肽通过竞争<em>受体</em>塑造水稻理想穗型的分子机制	2024-12-11	Competitive binding of small antagonistic peptides to the OsER1 receptor optimizes rice panicle architecture 	 https://doi.org/10.1016/j.xplc.2024.101204
受体	Cell | 颠覆观念！刘宏涛团队发现蓝光<em>受体</em>CRY2在黑暗中具有功能	2024-11-16	The Arabidopsis blue-light photoreceptor CRY2 is active in darkness to inhibit root growth 	 https://doi.org/10.1016/j.cell.2024.10.031
受体	Nature Plants | 柴继杰团队和河南师范大学等多家研究团队合作揭示了N-糖基化修饰促进植物免疫<em>受体</em>激酶激活的新机制	2024-11-07	N-glycosylation facilitates the activation of a plant cell-surface receptor 	 https://www.nature.com/articles/s41477-024-01841-6
受体	Nature Commun | 浙江大学丁忠杰/郑绍建团队首次发现类<em>受体</em>激酶WAKL4介导的植物主动降低镉累积的新机制	2024-11-05	The Arabidopsis receptor-like kinase WAKL4 limits cadmium uptake via phosphorylation and degradation of NRAMP1 transporter 	 https://www.nature.com/articles/s41467-024-xxxxx-x
受体	EMBO J. | 浙江大学师恺课题组发现新型<em>受体</em>激酶BRAK与多肽<em>受体</em>PSKR1相互磷酸化协同提高番茄生长和抗性	2024-10-29	A novel LRR receptor-like kinase BRAK reciprocally phosphorylates PSKR1 to enhance growth and defense in tomato	https://doi.org/10.1038/s44318-024-00278-z
受体	西南大学罗克明/魏洪彬团队发现短日照条件下蓝光<em>受体</em>CRY2促进杨树顶芽生长和木材形成	2024-08-23	Overexpression of CRYPTOCHROME 2 enhances shoot growth and wood formation in poplar under growth-restrictive short days 	 https://www.sciencedirect.com/science/article/pii/S1673852723002171
受体	EMBO Journal | 南京农业大学揭示植物免疫<em>受体</em>蛋白稳态与抗性激活动态调控新机制	2024-07-22	A viral effector blocks the turnover of a plant NLR receptor to trigger a robust immune response 	 https://doi.org/10.1038/s44318-024-00174-6
受体	PNAS | 北京师范大学李杰婕课题组揭示肌球蛋白Myosin XI在植物表面免疫<em>受体</em>复合体组装中的新功能	2024-06-21	Myosin XI-mediated BIK1 recruitment to nanodomains facilitates FLS2–BIK1 complex formation during innate immunity in Arabidopsis	https://doi.org/10.1073/pnas.2312415121
受体	Plant Cell | 西北农林科技大学王晓峰团队揭示油菜素内酯<em>受体</em>StBRI1促进马铃薯块茎发育的分子机制	2024-06-02	Brassinosteroid Receptor StBRI1 Promotes Tuber Development by Enhancing Plasma Membrane H+-ATPase Activity in Potato 	 https://doi.org/10.1093/plcell/koae164
受体	Nature Plants | 中国农业大学李继刚课题组揭示远红光<em>受体</em>phyA的蛋白磷酸化机制	2024-05-07	Liquid-liquid phase separation of TZP promotes PPK-mediated phosphorylation of the phytochrome A photoreceptor 	 https://www.nature.com/articles/s41477-024-01692-1
受体	Plant Physiol | 福建农林大学唐定中课题组揭示NLR免疫<em>受体</em>Pib和PibH8介导水稻抗病的分子机制	2024-05-06	Nucleotide-binding leucine-rich repeat receptor homologs Pib and PibH8 interact and contribute to immunity in rice	https://doi.org/10.1093/plphys/kiae244
受体	Plant Cell | 山东农业大学李厦团队/南开大学张彦团队揭示PAT调控<em>受体</em>激酶棕榈酰化从而介导花粉管导向生长的机制	2024-04-19	Arabidopsis class A S-acyl transferases modify the pollen receptors LIP1 and PRK1 to regulate pollen tube guidance	https://doi.org/10.1093/plcell/koae109
受体	Nature Commun | 南京农业大学植物病毒学团队揭示NLR免疫<em>受体</em>激活植物激素抗病信号的新机制	2024-04-15	A plant NLR receptor employs ABA central regulator PP2C-SnRK2 to activate antiviral immunity 	 https://www.nature.com/articles/s41467-024-47364-8
受体	JGG | 华中农大李一博团队发现OsCLV2s-OsCRN1共<em>受体</em>调控水稻粒形	2024-04-08	The OsCLV2s and OsCRN1 regulate grain shape in rice 	 https://www.sciencedirect.com/science/article/pii/S1673852724001673
受体	广西大学明振华/金健合作揭示水稻免疫<em>受体</em>激酶FLS2的信号转导机制	2024-01-19	Structural and biochemical basis of FLS2-mediated signal activation and transduction in rice 	 https://doi.org/10.1016/j.xplc.2023.100785
受体	Plant Physiol. | 南京农业大学张亚丽课题组发现生长素<em>受体</em>TIR1介导的生长素信号传导对水稻籽粒灌浆至关重要	2024-01-14	Auxin receptor OsTIR1 mediates auxin signaling during seed filling in rice 	 https://doi.org/10.1093/plphys/kiae013
受体	Cell Research | 浙江大学郑绍建课题组发现首个植物铝离子<em>受体</em>，并解析其完整的信号转导通路	2024-01-11	The LRR receptor-like kinase ALR1 is a plant aluminum ion sensor 	 https://www.nature.com/articles/s41422-023-00915-y
受体	Plant Physiol | 河南农业大学杨建平/杨青华课题组发现蓝光<em>受体</em>ZmCRY1b可增强玉米的抗倒伏能力	2023-11-04	Cryptochrome 1b represses gibberellin signaling to enhance lodging resistance in maize	https://doi.org/10.1093/plphys/kiad546
受体	Cell Reports | 中国农科院植保所揭示过氧化物酶体<em>受体</em>介导水稻抗稻瘟病的新机制	2023-10-25	The rice peroxisomal receptor PEX5 negatively regulates resistance to rice blast fungus Magnaporthe oryzae 	 https://doi.org/10.1016/j.celrep.2023.113315
感受器	专家点评Cell Research | 清华大学方晓峰团队合作发现新的植物温度<em>感受器</em>	2025-05-14	A thermosensor FUST1 primes heat-induced stress granule formation via biomolecular condensation in Arabidopsis 	 https://www.nature.com/articles/s41422-025-01125-4
