41,IL10_m5_10ul_200pg
42,IL10_m5_10ul_20pg
43,IL10_m5_10ul_2pg
44,IL10_m5_10ul_200fg
45,IL10_m5_10ul_20fg
46,IL10_m5_10ul_2fg
47,IL10_m5_10ul_0
48,IL10_m5_10ul_无酶
49,IL10_m5_40ul_200pg
50,IL10_m5_40ul_20pg
51,IL10_m5_40ul_2pg
52,IL10_m5_40ul_200fg
53,IL10_m5_40ul_20fg
54,IL10_m5_40ul_2fg
55,IL10_m5_40ul_0
56,IL10_m5_40ul_无酶
57,IL10_m5_200ul_200pg
58,IL10_m5_200ul_20pg
59,IL10_m5_200ul_2pg
60,IL10_m5_200ul_200fg
61,IL10_m5_200ul_20fg
62,IL10_m5_200ul_2fg
63,IL10_m5_200ul_0
64,IL10_m5_200ul_无酶
65,IL4_m7_200ul_200pg
66,IL4_m7_200ul_20pg
67,IL4_m7_200ul_2pg
68,IL4_m7_200ul_200fg
69,IL4_m7_200ul_20fg
70,IL4_m7_200ul_2fg
71,IL4_m7_200ul_0
72,IL4_m7_200ul_无酶
73,IL4_20ng_30ng_blocker_Clustering
74,IL4_2ng_30ng_blocker_Clustering
75,IL4_200pg_30ng_blocker_Clustering
76,IL4_20pg_30ng_blocker_Clustering
77,IL4_2pg_30ng_blocker_Clustering
78,IL4_200fg_30ng_blocker_Clustering
79,IL4_20fg_30ng_blocker_Clustering
80,IL4_0_30ng_blocker_Clustering
81,IL4_20ng_30ng_blocker_Dispersion
82,IL4_2ng_30ng_blocker_Dispersion
83,IL4_200pg_30ng_blocker_Dispersion
84,IL4_20pg_30ng_blocker_Dispersion
85,IL4_2pg_30ng_blocker_Dispersion
86,IL4_200fg_30ng_blocker_Dispersion
87,IL4_20fg_30ng_blocker_Dispersion
88,IL4_0_30ng_blocker_Dispersion
89,IL4_20ng_150ng_blocker_Dispersion  
90,IL4_2ng_150ng_blocker_Dispersion  
91,IL4_200pg_150ng_blocker_Dispersion  
92,IL4_20pg_150ng_blocker_Dispersion  
93,IL4_2pg_150ng_blocker_Dispersion  
94,IL4_200fg_150ng_blocker_Dispersion  
95,IL4_20fg_150ng_blocker_Dispersion  
96,IL4_0_150ng_blocker_Dispersion  
